Date,Open,High,Low,Close,Volume,Adj Close
2015-06-05,129.50,129.69,128.36,128.64999,35314200,128.64999
2015-06-04,129.58,130.58,128.91,129.36,38229300,129.36
2015-06-03,130.66,130.94,129.89999,130.12,30889400,130.12
2015-06-02,129.86,130.66,129.32001,129.96001,33556900,129.96001
2015-06-01,130.28,131.39,130.05,130.53999,31956000,130.53999
2015-05-29,131.23,131.45,129.89999,130.28,50338200,130.28
2015-05-28,131.86,131.95,131.10001,131.78,30647300,131.78
2015-05-27,130.34,132.25999,130.05,132.03999,45662800,132.03999
2015-05-26,132.60001,132.91,129.12,129.62,70193700,129.62
2015-05-22,131.60001,132.97,131.39999,132.53999,45123800,132.53999
2015-05-21,130.07001,131.63,129.83,131.39,39307500,131.39
2015-05-20,130.00,130.98,129.34,130.06,35965000,130.06
2015-05-19,130.69,130.88,129.64,130.07001,44351200,130.07001
2015-05-18,128.38,130.72,128.36,130.19,50176600,130.19
2015-05-15,129.07001,129.49001,128.21001,128.77,37921200,128.77
2015-05-14,127.41,128.95,127.16,128.95,44487500,128.95
2015-05-13,126.15,127.19,125.87,126.01,34322000,126.01
2015-05-12,125.60,126.88,124.82,125.87,47109200,125.87
2015-05-11,127.39,127.56,125.63,126.32,42035800,126.32
2015-05-08,126.68,127.62,126.11,127.62,55550400,127.62
2015-05-07,124.77,126.08,124.02,125.26,43940900,125.26
2015-05-06,126.56,126.75,123.36,125.01,72141000,124.49
2015-05-05,128.14999,128.45,125.78,125.80,49271400,125.27671
2015-05-04,129.50,130.57001,128.25999,128.70,50988300,128.16464
2015-05-01,126.10,130.13,125.30,128.95,58512600,128.41361
2015-04-30,128.64,128.64,124.58,125.15,83195400,124.62942
2015-04-29,130.16,131.59,128.30,128.64,63386100,128.1049
2015-04-28,134.46001,134.53999,129.57001,130.56,118924000,130.01691
2015-04-27,132.31,133.13,131.14999,132.64999,96954200,132.09821
2015-04-24,130.49001,130.63,129.23,130.28,44525900,129.73807
2015-04-23,128.30,130.42,128.14,129.67,45770900,129.13061
2015-04-22,126.99,128.87,126.32,128.62,37654500,128.08498
2015-04-21,128.10001,128.20,126.67,126.91,32435100,126.3821
2015-04-20,125.57,128.12,125.17,127.60,47054300,127.06922
2015-04-17,125.55,126.14,124.46,124.75,51957000,124.23108
2015-04-16,126.28,127.10,126.11,126.17,28369000,125.64517
2015-04-15,126.41,127.13,126.01,126.78,28970400,126.25263
2015-04-14,127.00,127.29,125.91,126.30,25524600,125.77463
2015-04-13,128.37,128.57001,126.61,126.85,36365100,126.32234
2015-04-10,125.95,127.21,125.26,127.10,40188000,126.5713
2015-04-09,125.85,126.58,124.66,126.56,32484000,126.03355
2015-04-08,125.85,126.40,124.97,125.60,37329200,125.07754
2015-04-07,127.64,128.12,125.98,126.01,35012300,125.48584
2015-04-06,124.47,127.51,124.33,127.35,37194000,126.82026
2015-04-02,125.03,125.56,124.19,125.32,32220100,124.79871
2015-04-01,124.82,125.12,123.10,124.25,40621400,123.73316
2015-03-31,126.09,126.49,124.36,124.43,42090600,123.91241
2015-03-30,124.05,126.40,124.00,126.37,47099700,125.84434
2015-03-27,124.57,124.70,122.91,123.25,39546200,122.73732
2015-03-26,122.76,124.88,122.60,124.24,47572900,123.7232
2015-03-25,126.54,126.82,123.38,123.38,51655200,122.86677
2015-03-24,127.23,128.03999,126.56,126.69,32842300,126.16301
2015-03-23,127.12,127.85,126.52,127.21,37709700,126.68085
2015-03-20,128.25,128.39999,125.16,125.90,68695100,125.3763
2015-03-19,128.75,129.25,127.40,127.50,45809500,126.96964
2015-03-18,127.00,129.16,126.37,128.47,65270900,127.93561
2015-03-17,125.90,127.32,125.65,127.04,51023100,126.51155
2015-03-16,123.88,124.95,122.87,124.95,35874300,124.43024
2015-03-13,124.40,125.40,122.58,123.59,51827300,123.0759
2015-03-12,122.31,124.90,121.63,124.45,48362700,123.93232
2015-03-11,124.75,124.77,122.11,122.24,68939000,121.73152
2015-03-10,126.41,127.22,123.80,124.51,68856600,123.99208
2015-03-09,127.96,129.57001,125.06,127.14,88528500,126.61114
2015-03-06,128.39999,129.37,126.26,126.60,72842100,126.07338
2015-03-05,128.58,128.75,125.76,126.41,56517100,125.88418
